model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
CDC CovidHub Ensemble,2021-02-27,2021-03-27,4,7805.0,6926,6672.0,9465.0,5521.0,10655.0,5078.0,11540.0,4369.0,12856.0
CDC CovidHub Ensemble,2021-03-06,2021-03-13,1,10367.0,8698,9025.0,10798.0,8067.0,11447.0,7550.0,11949.0,7184.0,12407.0
CDC CovidHub Ensemble,2021-03-06,2021-03-20,2,8711.0,7052,7582.0,9771.0,7026.0,10745.0,6305.0,11279.0,5681.0,11962.0
CDC CovidHub Ensemble,2021-03-06,2021-03-27,3,7743.0,6926,6544.0,9369.0,5768.0,10653.0,5231.0,11266.0,4856.0,11839.0
CDC CovidHub Ensemble,2021-03-06,2021-04-03,4,7166.0,5788,5897.0,8949.0,4821.0,10225.0,4495.0,11245.0,3968.0,11697.0
CDC CovidHub Ensemble,2021-03-13,2021-03-20,1,8449.0,7052,7441.0,9099.0,6497.0,9725.0,6059.0,10310.0,5699.0,10739.0
CDC CovidHub Ensemble,2021-03-13,2021-03-27,2,7678.0,6926,6667.0,8795.0,5654.0,9281.0,5160.0,9935.0,4890.0,10242.0
CDC CovidHub Ensemble,2021-03-13,2021-04-03,3,6848.0,5788,5746.0,8086.0,4703.0,8915.0,4204.0,9591.0,3699.0,10206.0
CDC CovidHub Ensemble,2021-03-13,2021-04-10,4,6108.0,6870,5133.0,7599.0,4088.0,8670.0,3411.0,9423.0,3171.0,10076.0
CDC CovidHub Ensemble,2021-03-20,2021-03-27,1,6970.0,6926,6090.0,7622.0,5493.0,8391.0,5219.0,8718.0,5077.0,9134.0
CDC CovidHub Ensemble,2021-03-20,2021-04-03,2,6505.0,5788,5730.0,7549.0,4613.0,8289.0,4147.0,8688.0,3949.0,9147.0
CDC CovidHub Ensemble,2021-03-20,2021-04-10,3,6181.0,6870,5226.0,7353.0,4302.0,8350.0,3512.0,8817.0,3316.0,9263.0
CDC CovidHub Ensemble,2021-03-20,2021-04-17,4,6023.0,5028,4864.0,7338.0,3839.0,8726.0,3245.0,9568.0,2700.0,9616.0
CDC CovidHub Ensemble,2021-03-27,2021-04-03,1,6457.0,5788,5808.0,7271.0,5147.0,7850.0,4807.0,8421.0,4534.0,8693.0
CDC CovidHub Ensemble,2021-03-27,2021-04-10,2,6028.0,6870,5245.0,7118.0,4415.0,7809.0,3902.0,8265.0,3752.0,8762.0
CDC CovidHub Ensemble,2021-03-27,2021-04-17,3,6159.0,5028,5176.0,7198.0,4304.0,8330.0,3762.0,9111.0,3263.0,9749.0
CDC CovidHub Ensemble,2021-03-27,2021-04-24,4,6212.0,5034,4825.0,7434.0,3940.0,8739.0,3586.0,8952.0,3070.0,10248.0
CDC CovidHub Ensemble,2021-04-03,2021-04-10,1,5793.0,6870,5081.0,6453.0,4554.0,7164.0,4245.0,7442.0,3982.0,7803.0
CDC CovidHub Ensemble,2021-04-03,2021-04-17,2,5645.0,5028,4687.0,6650.0,4093.0,7266.0,3684.0,7479.0,3497.0,7919.0
